Tag,cX,cY
47,3489.46630859375,695.7044067382812
30,899.2412109375,389.262451171875
34,2960.3916015625,2650.877685546875
21,2886.43505859375,2437.361328125
15,2703.2548828125,2332.832763671875
3,620.3115234375,1505.8038330078125
43,3332.64013671875,1443.03564453125
4,2866.91796875,1433.703369140625
23,2248.563720703125,1249.4658203125
0,1602.3818359375,875.5277099609375
36,273.74383544921875,860.30419921875
28,2035.2310791015625,754.9688110351562
30,899.7626342773438,391.6282958984375
34,2960.46044921875,2651.08349609375
21,2886.431396484375,2437.2744140625
15,2703.076171875,2332.69384765625
3,622.235595703125,1506.947021484375
4,2866.55712890625,1433.935302734375
43,3302.47265625,1427.944580078125
23,2248.370849609375,1249.944091796875
0,1602.588134765625,875.4927368164062
36,270.61871337890625,861.0078125
47,3487.51513671875,670.60693359375
30,901.0369262695312,388.328125
33,335.6165466308594,176.85638427734375
34,2960.02490234375,2650.88623046875
21,2885.85107421875,2437.505859375
15,2703.19580078125,2332.790283203125
3,621.6397705078125,1507.991455078125
4,2866.697265625,1433.913330078125
43,3281.69775390625,1422.6082763671875
0,1604.02783203125,874.7193603515625
36,273.16241455078125,861.238037109375
30,900.0,389.5
33,344.61700439453125,184.2939453125
34,2959.50439453125,2651.082763671875
21,2885.869140625,2437.934814453125
15,2702.85400390625,2332.876953125
5,3253.1328125,1860.140625
3,620.042236328125,1507.4359130859375
4,2866.38525390625,1434.224365234375
43,3263.72900390625,1418.851806640625
23,2248.1435546875,1250.408935546875
0,1602.72216796875,875.4483642578125
36,270.2040710449219,862.5614013671875
47,3477.8681640625,652.4722900390625
30,898.9393310546875,390.6075439453125
33,340.7723999023437,186.6746063232422
34,2959.88330078125,2651.224365234375
21,2886.4326171875,2437.8505859375
15,2703.03564453125,2333.07861328125
5,3253.714111328125,1860.1678466796875
3,619.3958740234375,1507.2369384765625
4,2866.623046875,1433.987548828125
43,3253.224365234375,1417.39453125
20,526.0,1268.0
23,2248.0341796875,1250.4481201171875
0,1602.57470703125,875.4712524414062
36,270.3239440917969,863.3666381835938
33,344.9823608398437,192.0476226806641
34,2959.83447265625,2651.237060546875
21,2886.123291015625,2438.36767578125
15,2703.219482421875,2333.370361328125
5,3253.897216796875,1860.2491455078125
3,613.103515625,1504.461669921875
4,2866.56591796875,1434.0596923828125
43,3247.80615234375,1411.969482421875
20,531.5,1277.5
0,1602.235595703125,876.3170166015625
36,270.1879272460937,862.5641479492188
34,2960.21044921875,2651.856689453125
21,2885.734375,2438.072265625
15,2702.77978515625,2332.99169921875
5,3253.12255859375,1860.2564697265625
3,613.216064453125,1504.572265625
4,2866.3955078125,1434.4285888671875
43,3241.565185546875,1410.0927734375
20,533.5,1281.5
23,2247.85693359375,1250.8546142578125
0,1602.432373046875,876.461181640625
36,269.4134521484375,862.6970825195312
47,3490.222412109375,598.621826171875
34,2959.73876953125,2651.11279296875
21,2886.31005859375,2437.91943359375
15,2702.8056640625,2332.93017578125
3,612.35546875,1502.739501953125
4,2866.38720703125,1434.1705322265625
43,3233.0,1406.0
20,531.5,1281.5
0,1602.676025390625,875.4417724609375
36,268.5980529785156,862.718017578125
47,3488.6376953125,568.8458862304688
33,333.3786926269531,206.50265502929688
34,2959.606201171875,2651.08447265625
21,2885.917724609375,2437.8251953125
15,2703.082275390625,2332.88720703125
5,3253.63671875,1859.8343505859373
3,612.3404541015625,1504.6058349609375
4,2866.3759765625,1433.9910888671875
43,3225.1240234375,1402.8746337890625
20,531.0,1285.5
23,2247.90869140625,1250.411376953125
0,1602.6922607421875,875.452392578125
36,268.4019775390625,861.6300048828125
34,2959.80126953125,2651.216796875
21,2885.783935546875,2437.82080078125
15,2702.81201171875,2332.768798828125
5,3252.91357421875,1860.055908203125
3,615.806396484375,1510.186279296875
4,2866.29931640625,1434.2698974609375
20,534.44189453125,1295.9462890625
0,1602.683837890625,875.4613037109375
36,268.0775146484375,862.6431274414062
47,3495.58447265625,544.022216796875
33,339.2284545898437,246.72528076171875
34,2960.302490234375,2650.9697265625
21,2886.54541015625,2437.53564453125
15,2702.87255859375,2332.61962890625
3,616.707275390625,1508.8902587890625
4,2866.221923828125,1434.28515625
0,1603.083984375,875.6867065429688
36,268.04913330078125,863.57373046875
33,344.8722839355469,264.0014953613281
34,2959.568603515625,2651.09326171875
21,2885.87109375,2437.66455078125
15,2702.853271484375,2332.82275390625
5,3254.19384765625,1860.1126708984373
0,1602.697998046875,875.430908203125
36,267.799560546875,862.584716796875
28,2035.458984375,755.207763671875
47,3498.436279296875,524.4793701171875
34,2960.5595703125,2651.099609375
21,2885.59130859375,2437.6953125
15,2702.96630859375,2332.89208984375
5,3253.4970703125,1860.457275390625
4,2866.41943359375,1434.4791259765625
23,2247.63720703125,1251.10791015625
0,1602.3009033203125,875.6990966796875
36,267.332763671875,864.2158203125
47,3496.859130859375,517.7718505859375
30,908.03271484375,397.4338073730469
34,2960.15966796875,2650.91015625
21,2885.976806640625,2437.732421875
15,2702.71142578125,2332.819091796875
4,2866.42626953125,1434.203857421875
20,535.9567260742188,1304.0989990234375
0,1602.59130859375,875.5604248046875
36,267.8783264160156,862.1109619140625
47,3497.98974609375,507.1751098632813
34,2959.71142578125,2651.23046875
21,2885.974609375,2437.8896484375
15,2703.003173828125,2333.04931640625
5,3254.1201171875,1860.386962890625
4,2866.484375,1434.432861328125
20,535.5201416015625,1303.67431640625
0,1602.7064208984375,874.7820434570312
36,266.8961181640625,862.2655029296875
28,2035.52294921875,755.3753662109375
47,3494.95849609375,493.9010009765625
30,911.9281005859376,402.976318359375
34,2960.45068359375,2651.12744140625
21,2886.107666015625,2437.81396484375
15,2703.00634765625,2332.63232421875
20,535.9794921875,1303.1025390625
0,1603.37939453125,874.8165893554688
36,265.8103942871094,863.43408203125
28,2035.6611328125,755.3729858398438
47,3491.96337890625,483.2857055664063
30,907.2135009765624,401.51416015625
33,377.994873046875,310.79180908203125
42,320.6192626953125,280.9374694824219
21,2886.06884765625,2437.428955078125
15,2702.859375,2332.27587890625
5,3253.75537109375,1859.75341796875
20,535.5966796875,1303.738037109375
0,1603.6234130859375,874.8147583007812
36,264.063720703125,861.5604858398438
28,2036.0223388671875,755.2366943359375
30,908.8751831054688,401.5396423339844
33,386.1843872070313,325.3427734375
42,320.6942749023437,280.635498046875
34,2960.35791015625,2650.89892578125
21,2886.3623046875,2437.51318359375
15,2703.13037109375,2332.16748046875
20,535.0389404296875,1303.499755859375
0,1603.8067626953125,874.6765747070312
36,263.17840576171875,860.2088623046875
28,2036.0235595703125,754.8013916015625
47,3494.985107421875,453.46923828125
30,910.3062744140624,400.22015380859375
33,382.8819580078125,338.00177001953125
